Time outerCorrector residual
0.0074 1 0.303855
0.0074 2 0.303576
0.0074 3 0.0242072
0.0074 4 0.0208234
0.0074 5 0.00472746
0.0074 6 0.000486946
0.0074 7 0.000187564
0.0074 8 8.0986e-05
0.0076 1 0.613361
0.0076 2 0.612781
0.0076 3 0.0577557
0.0076 4 0.0672318
0.0076 5 0.0170144
0.0076 6 0.00128287
0.0076 7 0.000452758
0.0076 8 0.000188222
0.0076 9 0.000106939
0.0076 10 3.10308e-06
0.0078 1 1
0.0078 2 0.999051
0.0078 3 0.112642
0.0078 4 0.153534
0.0078 5 0.0304692
0.0078 6 0.00258172
0.0078 7 0.00165744
0.0078 8 0.00117792
0.0078 9 0.000365601
0.0078 10 0.000186612
0.0078 11 9.00387e-05
0.008 1 0.999174
0.008 2 0.998224
0.008 3 0.124584
0.008 4 0.185611
0.008 5 0.0286077
0.008 6 0.00249313
0.008 7 0.00157678
0.008 8 0.000758514
0.008 9 0.000150498
0.008 10 5.16261e-05
0.0082 1 0.532025
0.0082 2 0.531572
0.0082 3 0.0747177
0.0082 4 0.119351
0.0082 5 0.0136949
0.0082 6 0.00131928
0.0082 7 0.000693528
0.0082 8 0.00035204
0.0082 9 0.000227945
0.0082 10 0.00011144
0.0082 11 3.1197e-06
0.0084 1 0.314211
0.0084 2 0.313969
0.0084 3 0.0508615
0.0084 4 0.0871828
0.0084 5 0.00626102
0.0084 6 0.000983276
0.0084 7 0.00037073
0.0084 8 0.00020965
0.0084 9 4.75043e-05
0.0086 1 0.178029
0.0086 2 0.177906
0.0086 3 0.0377565
0.0086 4 0.0679768
0.0086 5 0.00199139
0.0086 6 0.000747417
0.0086 7 0.000364507
0.0086 8 0.000191589
0.0086 9 3.61432e-05
0.0088 1 0.0705201
0.0088 2 0.0704632
0.0088 3 0.0323349
0.0088 4 0.0471172
0.0088 5 0.000978353
0.0088 6 0.000564851
0.0088 7 0.000360672
0.0088 8 1.61348e-05
0.009 1 0.0403014
0.009 2 0.0402899
0.009 3 0.0345154
0.009 4 0.0269476
0.009 5 0.00124995
0.009 6 0.000481755
0.009 7 0.000267502
0.009 8 7.00929e-05
0.0092 1 0.163215
0.0092 2 0.163054
0.0092 3 0.0418721
0.0092 4 0.0740829
0.0092 5 0.00396837
0.0092 6 0.00253099
0.0092 7 0.000525094
0.0092 8 0.000186636
0.0092 9 6.44874e-05
0.0094 1 0.349632
0.0094 2 0.349287
0.0094 3 0.0577822
0.0094 4 0.103346
0.0094 5 0.0085273
0.0094 6 0.00468739
0.0094 7 0.00124168
0.0094 8 0.000522719
0.0094 9 0.000245281
0.0094 10 0.000152784
0.0094 11 8.67864e-05
0.0096 1 0.734474
0.0096 2 0.73376
0.0096 3 0.0993951
0.0096 4 0.174754
0.0096 5 0.0171816
0.0096 6 0.0072238
0.0096 7 0.00111444
0.0096 8 0.000159408
0.0096 9 8.4163e-05
0.0098 1 1
0.0098 2 0.999018
0.0098 3 0.131819
0.0098 4 0.233106
0.0098 5 0.0221764
0.0098 6 0.00727013
0.0098 7 0.0019633
0.0098 8 0.000152509
0.0098 9 6.19029e-05
0.01 1 0.955383
0.01 2 0.954423
0.01 3 0.134034
0.01 4 0.24465
0.01 5 0.0152656
0.01 6 0.00663025
0.01 7 0.0012002
0.01 8 0.000202396
0.01 9 8.75402e-05
0.0102 1 0.498195
0.0102 2 0.497712
0.0102 3 0.0848445
0.0102 4 0.155672
0.0102 5 0.00756949
0.0102 6 0.00338151
0.0102 7 0.000805894
0.0102 8 0.000295298
0.0102 9 0.000139023
0.0102 10 6.31208e-05
0.0104 1 0.293093
0.0104 2 0.292816
0.0104 3 0.0705425
0.0104 4 0.12384
0.0104 5 0.00617812
0.0104 6 0.00194585
0.0104 7 0.000642075
0.0104 8 0.000315219
0.0104 9 4.23889e-05
0.0106 1 0.163596
0.0106 2 0.163449
0.0106 3 0.0691211
0.0106 4 0.0972795
0.0106 5 0.00588641
0.0106 6 0.00153937
0.0106 7 0.000580996
0.0106 8 0.000297579
0.0106 9 2.82622e-05
0.0108 1 0.065786
0.0108 2 0.0658117
0.0108 3 0.07427
0.0108 4 0.0300488
0.0108 5 0.00175185
0.0108 6 0.000818446
0.0108 7 0.000425494
0.0108 8 0.000183709
0.0108 9 6.91784e-05
